Event: 227742903 | orbit≈ 22774290 | LS: 869 | nb4: 0 | LumiNb4ID: 86900
Event: 227742913 | orbit≈ 22774291 | LS: 869 | nb4: 0 | LumiNb4ID: 86900
Event: 227742923 | orbit≈ 22774292 | LS: 869 | nb4: 0 | LumiNb4ID: 86900
Event: 227742933 | orbit≈ 22774293 | LS: 869 | nb4: 0 | LumiNb4ID: 86900
Event: 227742943 | orbit≈ 22774294 | LS: 869 | nb4: 0 | LumiNb4ID: 86900
Event: 227742953 | orbit≈ 22774295 | LS: 869 | nb4: 0 | LumiNb4ID: 86900
Event: 227742963 | orbit≈ 22774296 | LS: 869 | nb4: 0 | LumiNb4ID: 86900
Event: 227742973 | orbit≈ 22774297 | LS: 869 | nb4: 0 | LumiNb4ID: 86900
Event: 227742983 | orbit≈ 22774298 | LS: 869 | nb4: 0 | LumiNb4ID: 86900
Event: 227742993 | orbit≈ 22774299 | LS: 869 | nb4: 0 | LumiNb4ID: 86900
Event: 227743003 | orbit≈ 22774300 | LS: 869 | nb4: 0 | LumiNb4ID: 86900
Event: 227743013 | orbit≈ 22774301 | LS: 869 | nb4: 0 | LumiNb4ID: 86900
Event: 227743023 | orbit≈ 22774302 | LS: 869 | nb4: 0 | LumiNb4ID: 86900
Event: 227743033 | orbit≈ 22774303 | LS: 869 | nb4: 0 | LumiNb4ID: 86900
Event: 227743043 | orbit≈ 22774304 | LS: 869 | nb4: 0 | LumiNb4ID: 86900
Event: 227743053 | orbit≈ 22774305 | LS: 869 | nb4: 0 | LumiNb4ID: 86900
Event: 227743063 | orbit≈ 22774306 | LS: 869 | nb4: 0 | LumiNb4ID: 86900
Event: 227743073 | orbit≈ 22774307 | LS: 869 | nb4: 0 | LumiNb4ID: 86900
Event: 227743083 | orbit≈ 22774308 | LS: 869 | nb4: 0 | LumiNb4ID: 86900
Event: 227743093 | orbit≈ 22774309 | LS: 869 | nb4: 0 | LumiNb4ID: 86900
Event: 227743103 | orbit≈ 22774310 | LS: 869 | nb4: 0 | LumiNb4ID: 86900
Event: 227743113 | orbit≈ 22774311 | LS: 869 | nb4: 0 | LumiNb4ID: 86900
Event: 227743123 | orbit≈ 22774312 | LS: 869 | nb4: 0 | LumiNb4ID: 86900
Event: 227743133 | orbit≈ 22774313 | LS: 869 | nb4: 0 | LumiNb4ID: 86900
Event: 227743143 | orbit≈ 22774314 | LS: 869 | nb4: 0 | LumiNb4ID: 86900
